                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59526,                0.46888,                 1.0203,                0.89584,                  0.625,                0.70339,                0.54279,                0.59212,                0.49171,                 1.0108,             0.00064893,             0.00064893,             0.00064893
                     36,                0.61068,                0.46326,                 1.0184,                0.59837,                0.68425,                0.74396,                0.56838,                0.62967,                0.52669,                 1.0216,             0.00063125,             0.00063125,             0.00063125
                     37,                0.57401,                0.44911,                0.98894,                0.70803,                0.71805,                0.73713,                0.56427,                0.66277,                0.49919,                 1.0541,             0.00061357,             0.00061357,             0.00061357
                     38,                0.59704,                0.47578,                 1.0017,                0.69403,                 0.7344,                 0.7739,                0.58364,                0.60056,                0.47139,                 1.0191,             0.00059589,             0.00059589,             0.00059589
                     39,                0.57835,                0.43428,                0.99312,                0.96549,                   0.75,                0.76375,                0.58167,                0.56824,                0.39355,                0.97197,             0.00057821,             0.00057821,             0.00057821
                     40,                0.55552,                0.42645,                0.99083,                0.80508,                0.66319,                 0.6845,                0.49323,                0.62461,                0.47283,                 1.0521,             0.00056054,             0.00056054,             0.00056054
                     41,                0.55228,                0.43915,                 0.9867,                0.98526,                 0.4957,                 0.7143,                0.55836,                0.54613,                0.49581,                0.97467,             0.00054286,             0.00054286,             0.00054286
                     42,                0.54151,                0.45939,                0.96334,                 0.9897,                0.48684,                0.54723,                0.45522,                0.53801,                0.50117,                0.98413,             0.00052518,             0.00052518,             0.00052518
                     43,                0.54202,                0.42916,                0.97654,                0.99543,                    0.5,                0.60648,                0.47607,                0.57253,                0.48317,                0.98004,              0.0005075,              0.0005075,              0.0005075
                     44,                 0.5563,                0.41089,                0.97392,                0.99791,                    0.5,                0.58062,                0.48197,                0.53862,                0.48111,                0.96025,             0.00048982,             0.00048982,             0.00048982
                     45,                0.54978,                0.42358,                0.98506,                0.97147,                0.48673,                 0.7379,                0.55037,                0.56414,                0.45796,                0.99387,             0.00047214,             0.00047214,             0.00047214
                     46,                0.53266,                0.40342,                0.96455,                0.65002,                0.69366,                0.74438,                0.56973,                0.53408,                0.44983,                0.97218,             0.00045446,             0.00045446,             0.00045446
                     47,                0.55403,                0.40623,                0.98465,                0.77174,                0.85215,                0.82917,                0.62931,                0.54831,                0.39932,                0.95752,             0.00043679,             0.00043679,             0.00043679
                     48,                  0.531,                0.39833,                0.97435,                0.99832,                0.49907,                0.77304,                0.55039,                0.56486,                0.44037,                0.99545,             0.00041911,             0.00041911,             0.00041911
                     49,                0.53023,                0.38605,                0.96853,                 0.9947,                    0.5,                   0.56,                0.44864,                0.57868,                0.48386,                 1.0058,             0.00040143,             0.00040143,             0.00040143
                     50,                0.52375,                0.38842,                0.96323,                0.76853,                0.78795,                0.81268,                0.65421,                0.50234,                0.41053,                0.93528,             0.00038375,             0.00038375,             0.00038375
                     51,                0.53969,                0.37495,                0.97776,                0.72025,                0.78158,                0.79812,                0.65688,                0.52445,                0.42989,                0.95071,             0.00036607,             0.00036607,             0.00036607
                     52,                 0.5287,                0.44152,                0.97507,                0.66389,                0.69638,                0.77808,                0.66076,                0.49421,                0.40263,                0.92751,             0.00034839,             0.00034839,             0.00034839
                     53,                0.53109,                 0.3753,                0.95368,                0.92252,                    0.5,                0.71896,                 0.5612,                0.50808,                0.41048,                0.94046,             0.00033071,             0.00033071,             0.00033071
                     54,                0.50359,                0.36396,                0.96311,                0.88747,                    0.5,                0.79387,                0.60213,                0.53384,                0.41819,                0.95906,             0.00031304,             0.00031304,             0.00031304
                     55,                0.50763,                0.36298,                0.96302,                0.99694,                    0.5,                0.70458,                0.59272,                0.54566,                 0.4165,                0.96854,             0.00029536,             0.00029536,             0.00029536
                     56,                0.51046,                0.38292,                0.95568,                0.99333,                0.49978,                 0.6425,                0.54014,                0.47723,                0.41598,                0.93897,             0.00027768,             0.00027768,             0.00027768
                     57,                0.49589,                0.34605,                0.95464,                 0.9395,                0.69933,                0.79458,                0.57803,                 0.5123,                0.39537,                0.93315,                0.00026,                0.00026,                0.00026
                     58,                0.49544,                0.33434,                 0.9563,                0.41048,                  0.875,                0.88594,                0.59124,                0.49438,                0.41342,                0.92868,             0.00024232,             0.00024232,             0.00024232
                     59,                0.48963,                0.35858,                0.94737,                0.91881,                   0.75,                 0.9325,                0.63214,                0.48139,                0.35074,                0.92268,             0.00022464,             0.00022464,             0.00022464
                     60,                0.46746,                0.32946,                0.94459,                0.91735,                   0.75,                0.84979,                0.59978,                0.49734,                0.38213,                0.93827,             0.00020696,             0.00020696,             0.00020696
                     61,                0.39028,                0.26995,                0.87436,                0.78777,                0.91415,                 0.9325,                0.71074,                0.47696,                0.34663,                0.92799,             0.00018929,             0.00018929,             0.00018929
                     62,                0.37741,                0.25665,                0.86123,                0.75731,                0.78024,                 0.8575,                0.66407,                0.51233,                 0.4007,                0.94689,             0.00017161,             0.00017161,             0.00017161
                     63,                 0.3713,                0.25734,                0.86345,                0.77171,                0.83916,                0.85813,                0.65943,                0.49262,                0.36731,                 0.9352,             0.00015393,             0.00015393,             0.00015393
                     64,                 0.3708,                0.25123,                 0.8591,                0.76553,                  0.625,                0.81723,                0.64407,                0.49811,                0.35972,                0.93605,             0.00013625,             0.00013625,             0.00013625
                     65,                 0.3596,                0.23822,                0.85241,                0.46831,                      1,                0.93188,                0.68072,                0.45805,                 0.3522,                0.91766,             0.00011857,             0.00011857,             0.00011857
                     66,                 0.3588,                0.24003,                0.86578,                0.65646,                  0.875,                0.87911,                0.66674,                0.45391,                0.34931,                0.91859,             0.00010089,             0.00010089,             0.00010089
                     67,                0.35168,                0.23522,                0.84891,                0.70469,                  0.875,                0.80344,                0.65409,                0.45986,                0.33636,                0.91478,             8.3214e-05,             8.3214e-05,             8.3214e-05
                     68,                0.34903,                0.24225,                0.84728,                0.78394,                0.84058,                0.85813,                0.66794,                 0.4534,                0.33112,                 0.9235,             6.5536e-05,             6.5536e-05,             6.5536e-05
                     69,                0.34607,                 0.2302,                0.85454,                0.78124,                0.84652,                0.93207,                0.69639,                 0.4419,                0.31045,                0.91274,             4.7857e-05,             4.7857e-05,             4.7857e-05
                     70,                 0.3501,                0.22974,                 0.8493,                0.79562,                0.90196,                0.93207,                0.69588,                0.44878,                0.31855,                0.91554,             3.0179e-05,             3.0179e-05,             3.0179e-05
